Reviewer,Review,Review Score,Review date
William K,The tell phone rings in the background....heart thought it was my stalking Baby mama...had to quit immediatly,3.0,"Mar 6, 2023"
Amelia A,"it makes me feel warm and cozy in my chest , a very nostalgic feeling",5.0,"Feb 27, 2023"
Diogo G,This movie is one of the sweetest you'll ever watch! It has both the comedy and drama as well as a really sweet story. Overall it's an Awsome movie!,4.5,"Jan 23, 2023"
Chris H,"If you want to simply smile for 2 hours straight, go ahead and watch this movie. I have zero clue why anyone would rated this under 5 stars for a comedy/drama. The chemistry between De Niro and Hathaway is tremendous. I bought the whole thing and somehow there's actually a decent premise and storyline.",5.0,"Jan 11, 2023"
Rosie G,"Simple but sweet! I'd been having a terrible week where everything has gone wrong, and this movie was on TV in my hotel room and helped to distract me for a bit. I found myself smiling at some parts, and it was overall just a nice movie",5.0,"Jan 7, 2023"
Marcus T,"Deniro and Hathaway have good chemistry here, but the overall emotional tone is too mushy for me; feels manipulative. Deniro's character is too good to be true. Because he's Deniro he can almost get away with it. The messages about social and gender roles seem overly simplified and sort of muddy at the same time. Worth the attempt, but didn't quite pull it off",3.0,"Jan 4, 2023"
Brad A,Serviceable. Has a low-key feel to it. Something about it though brought me back to watch it again. So there is something to it... although i don't think it ever really hit the mark it was aiming for.,3.0,"Jan 3, 2023"
Ricardo A,"Cute movie, it's a nice 2 hours well spent if you have nothing better to do.",2.5,"Dec 23, 2022"
andrew p,Solid flick. Worth a watch. Def Fresh,3.5,"Dec 21, 2022"
Camila A,"If you don’t vibe with the charm Nancy Meyers brings, just move on.",5.0,"Nov 29, 2022"
Sahid S,Very boring. Seemed film was more interested in creating a statement than making it an enjoyable film.,1.0,"Oct 3, 2022"
Mike J,"This movie makes people emotional and reminds us of why senior people are still very important in our society. Robert de niro makes such an amazing character that actually makes me feel calm to. Anne Hathway also makes an awsome character, power woman and rmaking a refrence to working moms which is a social issue today. The plot is good. It's a movie that makes you smile and laught a little.",4.0,"Sep 14, 2022"
,"What a movie it was, i don't know why this movie has low rating but believe me this is masterpiece, mood changer🥰",5.0,"Aug 22, 2022"
,esta pelicula da una buena vibra con la quimica de sus talentos protagonistas,5.0,"Aug 17, 2022"
,This movie is old but GOLD! Nancy Meyer's take on this movie is a breath of air. Anne Hathaway and Robert DeNiro played their characters very well that made the movie more interesting to watch.,5.0,"Jul 6, 2022"
,"I love this movie, the mix of old and modern references is amazing! This movie is for those that don’t take life to seriously and are just laid back.",5.0,"Jun 26, 2022"
,My therapist metros like film it's too dark knight esque.,4.5,"Apr 28, 2022"
,"Will be one of the all time classics, as good as ""its a wonderful life"" and others. What the film does, is instil those good old values and attributes in a modern digital world, mixed into the emotions of old school gentleman. A golden future classic.",5.0,"Apr 16, 2022"
,"Great movie, it shows different story in one movie",5.0,"Feb 18, 2022"
neil m,Undemanding. Pleasant way to spend a couple of hours.,3.5,"Feb 10, 2022"
John H,This movie was so wholesome and amazing 👏 there were times I almost cried 😢 and alot times it made me smile,5.0,"Jan 31, 2022"
Paul M,"I had chosen this movie because I am great Anne Hathaway fan. So obviously I was sure the movie was to be great. But when I watched it, I found the movie to be a fresh watch, something so subtle but touching with glimpses of laughs. The thing which touched the most was the story and the performances of Robert De Niro and Anne Hathaway. Specially that moment when they both work late night and he says he used to work at the same spot years ago. Must watch movie!",4.0,"Jan 22, 2022"
,This is a good movie. The story is good the music is beautiful. Robert de Niro plays a wonderful character. To watch,4.5,"Dec 25, 2021"
,"Less about what is said . . . more about how it is said. Simple story where the ending is apparent from the outset. The point is, with this film, in watching the plot unfold. Nothing deep. Nothing urging you to set a date to watch it again. Rather, more something about how people can feel. Interactions. We all know about what it takes to put a winning production together. Good writing. Good acting . . . and all the rest. This is no Gone With the Wind, it's just a show about . . . about people. Nothing more. And you wind up with a pleased smile. Pick your own person to identify with. I'm older, so DeNiro is for me. Taught me the value of keeping my mouth shut more often. Pays off. Perfect three stars.",3.0,"Dec 10, 2021"
,"I liked this movie from start to finish. Loved the relationship between the intern and Jules, it made me think of a very proud granddad who tries to help his niece out. 2 very well spent hours.",4.5,"Dec 2, 2021"
,Enjoyed DeNiro for the first time in awhile. Loved the burglary sequence.,4.0,"Oct 10, 2021"
,"Robert De Niro in a comedy movie, a very decent movie. Did enjoy it. 7.5/10",3.5,"Sep 2, 2021"
,Very lame movie and the acting was forced in most scenes. Not recommended,2.0,"Aug 28, 2021"
,"A feel-good dramedy which, although drawn out in places, has its moments and is bound to make you smile.",3.5,"Aug 8, 2021"
,"I'm surprised the critics gave this one such poor ratings. Makes me wonder if they ever know how to enjoy a good movie. So, it's not original, so it raises a few issues that we may not agree on or whatever but this movie made me laugh, then cry, and in the end, it left me with a feeling of warmth. I enjoyed this so much. I used to watch movies based on critic's ratings but now I know better.",4.5,"Jul 4, 2021"
,A touching story with great actors.,4.0,"Jun 21, 2021"
,"Awesome. The script, the acting of the two leads, the story and how much you feel for the relationships, all very well done, except for Anders Holm acting. If Jules' husband was played by some actor with better acting it'd have been stellar. Anders really didn't make me connect with or feel for the husband at all. His face was the same 99% of the time he's on screen. Anyhow still a well-executed, emotionally mature, well-written movie to watch. Kudos to Robert DeNiro and Anne Hathaway.",4.5,"Jun 19, 2021"
,"At the beginning, I felt good, but after a while all that cringe came in and ruined everything. Not so feel good movie.",2.5,"Jun 6, 2021"
,its good. De Niro is so cool in that movie,3.5,"Apr 15, 2021"
,"La película trata horrible los problemas de una pareja al acordar sus propias metas, la historia es malísima pero Robert De Niro y Anne Hathaway no la vuelven aburrida.",0.5,"Mar 22, 2021"
,Really enjoy watching the movie. Love the performance of Anne and Robert,5.0,"Mar 21, 2021"
,"Why all the great reviews. Worst movie I've seen mr De Niro in. Movie is to reflect a work place that never in a thousand years would exist. Or am I just narrow minded. Whatever, terrible.",2.0,"Mar 13, 2021"
,"This movie is just such a feel-good movie, I always end up so happy after watching it.",5.0,"Mar 11, 2021"
,"Robert De Niro ha trovato ormai casa in queste commedie in cui può esprimere un lato più divertente di sè, a lungo sovrastato da grandi performance drammatiche. ""The Intern"" è un film piacevole, originale e con davvero pochi difetti; lo si guarda con piacere dall'inizio alla fine. Magari, sarebbe stato interessante, completare la sceneggiatura con qualche personaggio di contorno più interessante, a tratti si sente un po' la mancanza.",4.0,"Mar 10, 2021"
Paul A,Both the stars acting compliments each other. A very enjoyable movie,4.0,"Feb 20, 2021"
steve d,"This movie is really healing me! I could see the importance of occupation at life. Do work because it makes me think of myself with pride and self-esteem, rather to obsess over money!!",4.5,"Feb 6, 2021"
renaldo d,A good hearted drama comedy that entertains without becoming overly sentimental. It's a relaxing watch.,3.5,"Feb 2, 2021"
lucca b,Robert De Niro jako alfa i omega,3.0,"Jan 30, 2021"
nandan t,this is my favorite movie ever ... WATCH IT! :),5.0,"Jan 17, 2021"
,"One of Nancy Meyers' absolute humane best with the usual charm-turned sweetness into something unexpectedly wholesomely heartening, benefitting from the finely casted chemistries that were enough to make this hilarious, insightful comedy one of the best feel-good films in recent memory. (A-)",4.0,"Oct 24, 2020"
,Not even the inmense acting chops of Deniro and Hathaway could save this film from the lack of focus and story.,2.5,"Sep 26, 2020"
,"this isnt a bad movie, its just not interesting or memorable. its bland.",2.5,"Sep 20, 2020"
,"It's so fun to watch from beginning til the end. I've always been a fan of stories about building friendships between young and old people, particularly in their exchange of wisdom which involves respect, mutual admiration, and compassion. It's a feel good story.",4.0,"Aug 31, 2020"
,Great movie very wholesome to watch.,5.0,"Jun 22, 2020"
,"The two stars are fantastic and well matched, but Hathaway's character get a terrible sexist arch that seems to defend men cheating on women if they are too impowered.",2.5,"Jun 9, 2020"
,"""Mark Zuckerberg never brought in a CEO - and he was a teenager!"" The movie is about love, life, lessons, falls, and getups. Surprisingly touching and happy. It puts life, feminism, work, marriage, kids on the table and discusses it. Life lessons are demonstrated naturally and not in a boring way. De Niro still a great actor. Now older, he is doing more dramatic movies and the man still on fire. Some facial expressions are his and no one else could ever do it. The chemistry he got with Hathaway is touching and happy. It's almost as they are connected with each other and with you and me. And what about Hathaway? She is gorgeous, frenetic, and as expressive as De Niro. They could do those scenes without even talk.",3.5,"Jun 3, 2020"
,"""The Intern"" has a slow and tiring narrative, the script barely moves and the ending is disappointing",2.0,"Jun 1, 2020"
,This movie is very sweet and does a fantastic job of building the relationship between the 2 main characters,5.0,"May 24, 2020"
,This is a really good movie. It is not the kind of movie I like seeing De Niro in but I have to admit him and Hathaway are very good together in this movie.,3.0,"May 17, 2020"
,"Its story is quite cliché, but it is redeemed thanks to its modern approach and the chemistry of its leads.",3.0,"May 11, 2020"
,"I love this movie. I've seen this several times. It's a feel-good film. I think the whole world should have a Senior Intern because it helps them to adapt with the new norms. It also make them feel that they belong or they are still part of something....a community. I love Anne Hathaway. I think she's a great actress. The relationship of Jules (Hathaway) and Ben (De Niro) is very admirable. He's like a father to her more than a colleague. What I didn't like though was when Matt (Jules' husband) had an affair and made Jules feel that it was her fault because her company became successful in less than two years. However, the ending was great. Everything just fell into place.",4.5,"May 8, 2020"
,"So this is what Anne Hathaway did after she left 'The Runway' in 'Devil Wears Prada'. Are we in some sort of Anne Hathaway and fashion cinematic universe perhaps? Even if we are, I would not mind it. Jokes aside, 'The Intern' is truly a heartfelt, cheerful and emotionally uplifting film powered by beautiful and nuanced performances by Rober De Niro and Anne Hathaway. Some subplots can feel irrelevant to the final story and feel crammed in to fit the runtime. By no means, the film gets boring but you feel that there is not much substance here. The film looks good though, the cinematography is fantastic. The dialogues are quirky and witty. The chemistry between De Niro and Hathaway is what lifts this film from average to good! Recommended!",3.5,"Apr 26, 2020"
,"The best thing I can say about the Intern is that it doesn't suck. It draws you in so well you want it to be good. Then it punches you in the gut and you never recover. It ends with you feeling like the writer got to the 1 yard line and then he dropped the ball. Great run, no touchdown.",2.5,"Apr 22, 2020"
,"I was pleasantly surprised how much I liked this movie; a retired businessman and widower (De Niro) decides to apply as an intern for a successful online fashion start-up company founded by ambitious Jules Ostin (Ann Hathaway) -- they are generations apart but they find a way to successfully work and support each other. Along the way, both are able to find friendship and reliable people they can count on. Highly recommended!",5.0,"Apr 5, 2020"
filippo v,"It has an intriguing premise, but doesn't evolve too much commentaires aside from the clichéd situations. Still, it is charming movie and a good watch and really works because of the chemistry of Anne Hathaway (doing her best) and Robert De Niro (truly a standout).",3.5,"Apr 3, 2020"
r 9,"Commedia più che dignitosa che nasconde una morale più profonda del previsto e del necessario. Nella seconda metà del film si sbarca in territori pericolosi proponendo un'idea di fondo forzata con risvolti narrativi inconsistenti. La buona sintonia tra la coppia dei protagonisti rende comunque il film assolutamente apprezzabile, un'esperienza leggera e passeggera.",3.0,"Mar 22, 2020"
Reynold20 M,"This is one of those movies that just puts you in a happy mood. It's not classic cinema, but it also wasn't meant to be. The main success is the chemistry by the entire cast, particularly the two leads.",3.5,"Mar 20, 2020"
Pilar M,"I don't necessarily dislike this film, but it has way too many cheesy/cringey moments for me to enjoy it. Robert De Niro and Anne Hathaway are good, though a lot of their meaningful scenes feel forced due to the writing and dialogue. I would've let it slide if 'The Intern' wasn't on for two hours - that's too much cheese for me.",2.5,"Mar 4, 2020"
,The story was beautifully portrayed by very powerful actors.,4.5,"Feb 27, 2020"
,"Like a breath of fresh air...no violence, swearing, politics.....just considerate people. De Niro was great helping everyone out with everything...but it was a 2-way street....all the young employees were very respectful to him too. Like George Martin said about Billy Preston's time with the Beatles.....he was like a 'lubricant' ...everyone loved him, all the band members were politer to each other and in better spirits...there was no pettyness...John wanted him in the band permanently.....when Preston left he was really missed.",5.0,"Feb 14, 2020"
,"Really great chemistry between De Niro and Hathaway, subtle and intelligent dialogue. However, I think if the husband/wife roles had been reversed, viewers would not be so pleased with conclusion that 'homemaker"" should be totally behind ""breadwinner"" , shut up and mind the child.",4.0,"Feb 10, 2020"
,"‘The Intern' is a MUST SEE. The film is not only heartwarming, but leaves you with a good feeling inside. It is such a positive message that drives home what being a good person and a hard worker means. One of my favorite movies of all time.",5.0,"Feb 6, 2020"
,"It was... okay? It really liked playing with old people stereotypes but not in a bad way just in a ham-fisted way. I don't really know what the movie was trying to teach me. What I got is, ""Woman can be good bosses but also should forgive cheaters.""",2.0,"Jan 18, 2020"
,"I cannot wipe the smile off my face while watching this. It's the ultimate feel-good movie, and it tackles issues in the most wholesome way possible. Stellar acting from De Niro and Hathaway as well.",5.0,"Jan 15, 2020"
,"One of the best feel good movies of this generation and gives a nod to old school customs. I appreciated De Niro's gentlemanly, likable character and Hathaway's character development from micro to macro despite the horrendous husband debacle. Personally, could have done with out that part of the movie but critics already said this movie wasn't edgy enough... I'll watch this again, to me that says it all...",4.0,"Dec 31, 2019"
,"The Intern suffers from lack of ideas, their development and history itself. Everything unfolds in areas almost white phones of the golden age of Hollywood. Neither of them has problems other than being workaholics. And when a problem arises, everything will be resolved sooner rather than later.",1.5,"Dec 21, 2019"
,A nice movie to see with your family.,5.0,"Dec 17, 2019"
,This movie made me laugh 0 times 🤦‍♂️ basically this movie is if u wanna c Robert Deniro act like a reg. guy.,0.5,"Dec 7, 2019"
,"this movie cements my love for De Nero, a feel-good movie that started brilliantly introducing that scary side of a seventy-year-old widower's insufferable life, which changed a lot when he accidentally found a flyer about a senior internship program. the movie is at its best when Ben is the focus. which doesn't happen too much thanks to Anne Hathaway's character and her uninteresting in-going relationship with her husband "" a bad actor by the way""",2.0,"Nov 3, 2019"
,Great cast and enjoyable story,4.0,"Oct 29, 2019"
,"Entertaining, funny and sometimes touching plot. Good acting throughout. I find it hard to say anything negative about this film. De Niro and Hathaway really worked well together.",5.0,"Oct 13, 2019"
,"Both a funny and at times heart-warming film, De Niro proves his talents brilliantly in a more gentle, fatherly role.",5.0,"Oct 9, 2019"
,"She’s cute, De Niro is pathetic and a terrible actor. Save your money.",1.5,"Oct 3, 2019"
,"A friend of mine who is also a movie lover described this movie in a few simples words "" Why did Robert De Niro do this movie? Normally older actor accept projects they really like""",3.0,"Sep 30, 2019"
Mario C,Good story to tell; however it never explained why a man with all his experience couldn't take administrative chores off the boss.,3.5,"Sep 1, 2019"
matt h,Very entertaining. It's refreshing to see DeNiro take on a role that doesn't tap into his best acting skills and still play a role perfectly. in character.,4.0,"Aug 26, 2019"
melanie m,"I have seen this movie at least three times and always enjoy it every time. Robert DeNiro's character brings a calm and focus to a very upended office environment. My favorite scene: in his closet, explaining why all men should carry handkerchiefs.",5.0,"Aug 26, 2019"
,"Cute movie, would recommend. Sentimental ending",3.5,"Aug 4, 2019"
,The intern is funny and heartwarming. It's a wonder De Niro went from this to the appalling Dirty Grandpa.,5.0,"Aug 3, 2019"
,Actually pretty funny and heart warming,3.0,"Jul 3, 2019"
,"Such a sweet film! I laughed, I cried. Major feel good, original, best acting I've seen out of Anne Hathaway in several years. Would highly recommend!!",5.0,"Jun 3, 2019"
,Its a feel good movie and i am sure that everyone is going to wish for an intern from now😉,5.0,"May 31, 2019"
,Lovely enjoyable film. Hathaway and Deniro are great in this film.,3.5,"Mar 28, 2019"
,"OK movie, De Nero sucked in this movie.",2.0,"Mar 14, 2019"
,"Really liked this movie, the cast is great and the story full of surprises!",4.0,"Mar 10, 2019"
,The next genocidal uprising.,1.5,"Feb 26, 2019"
,"Hathaway is in great form in The Intern. She really is believable as CEO Jules Ostin and really excels in the role. Nancy Meyers really excels at these rom-com movies that make you feel like the characters are believable and the storyline (even no matter how absurd) might actually be believable. Aside from Hathaway, De Niro is a breath of fresh air as a 70-year-old widower who is just trying to figure out life as a retiree. The only negative that I could grasp from this movie is the fact that all the younger people took a page from De Niro's ""experience"" and started molding towards his way of life, but he never reciprocated that behavior. I guess having him sign up for Facebook? As a Workaholics fan, I really enjoyed seeing Anders in a more serious role and he really performed it quite well. Well until he had to cry that is.",4.0,"Jan 25, 2019"
,Great chemistry from Robert DeNiro and Anne Hathaway. Fun and funny. A perfect choice for our datenight.,4.0,"Jan 11, 2019"
,who wrote this garbage,0.5,"Jan 7, 2019"
,It was a feel good movie was some heart and some laughs but nothing special.,3.0,"Dec 31, 2018"
,"The movie earns one star for being outstandingly bland, to the point that it would be fair to call this the cinematic equivalent of a pack of white K-Mart dress shirts... watched using boxxy software yesterday. In one word, not bad.",1.0,"Dec 27, 2018"
,"Great movie i loved every part of it , i loved the spontaneity in it , and i have to say Robert de niro and Anne Hathaway are the dynamic duo and i would kill to see them again , i would watch this masterpiece multiple time and still be happy every time.",5.0,"Dec 23, 2018"
,Touching and heart felt. Great performances by Hathaway and DeNiro.,5.0,"Dec 23, 2018"
,SMART AND WITTY WHAT A GREAT MATCH!,4.0,"Dec 20, 2018"
,"I get what others are saying about his acting, its tired and old, just like him! SAD he's got to stoop to this crap!",1.0,"Dec 19, 2018"
,"The Intern is like a stack of pancakes. It's warm, sweet and leaves you with a touch of a belly ache. You are, no doubt, drawn in by the casting and who could resist a movie that brings together Robert De Niro and Anne Hathaway? They're the best actors of their respective generations, but - WOW! - you keep wishing that they could find each other in a better movie. The Intern isn't bad exactly; it's light, breezy but is of no real significance. De Niro, who seems to have retired from the hard-boiled, challenging roles that made him famous, plays a good-hearted retired widower named Ben Whittaker. Retired from a now defunct company that made phone books, he now spends his days trying to figure out how to spend his days. His wife of 42 years is dead and he needs a challenge. So, he answers an ad for an outreach program for senior interns (senior as in age) to help out at 'About to Fit', a successful internet company that specializes in women's clothing. Ben gets the unenviable task of being the intern to the company's CEO, a supposedly tough-as-nails career woman named Jules Ostin (Hathaway). She claims she doesn't need him, but Romantic Comedy Law demands that she discover how much she really does need him, not just in the office but in her personal life as well. He becomes her driver (Driving Miss Hathaway?) and eventually he becomes her confidant. The two build a nice friendship that, it's a relief to report, doesn't bloom into a May-December. The problem is, that's about it. The movie is as bland and superfluous as it gets. Director Nancy Meyer sets up the inner-office environment with the reverie of shop-worn sitcom. It's pleasant and nice but it's only established so that Ben's old-school experience can teach the young a thing or two, but none of it has any significant payoff. The people around the office are young whipper-snappers whose function in the film is to be young whipper-snappers and they don't matter either. They aren't developed as characters, they're just onlookers to Ben's successes. Ben develops a half-written and pointless semi-sorta-romance with the company's on-site masseuse (Rene Russo) which goes nowhere and ALSO doesn't seem to matter. The plot developments are pointless too. Are we surprised to find that Jules' home life is burdened by the fact that her husband Matt gave up his career plans to be a stay-at-home dad? Nearly all of Jules and Matt's scenes are dedicated to talking about the fact that they never see each other. Hmmm. For about the first hour of The Intern I was fairly bored. I liked Jules and Ben but I wanted the movie to clear out the junky plot points and just let them talk, let them be human beings who connected with each other. To that point, the movie had no real dramatic tensions . . . then it happens. A dramatic situation develops that actually seems to give the movie some dramatic weight. Not to give anything away, but Ben discovers something about Matt that troubles him. When he brings it to Jules, the two have a heartfelt conversation that seems to be drawn from the characters, not from the screenplay. Unfortunately, the results of that dramatic event are crushed by a resolution that nobody - but nobody - is going be happy with. The Intern was written and directed by Nancy Meyers who specializes in cupcake-sweet confections like It's Complicated and Something's Got to Give and the Father of the Bride movies. Her films seem to have a consistent pattern. They contain a germ of human interest wrapped up in a gimmicky script that is fit for a bad television sitcom. The exception is a great comedy she made 30 years ago called Irreconcilable Differences, about a kid who divorces her squabbling parents. That movie had truth and human interest. The Intern has only faint echos of humanity. It has moments here and there when it shows the promise of what it might have been. It's a nice, sweet, uncomplicated movie that will begin disappearing from your mind before you get out of the theater and will have left you completely by the time you get to the car.",3.0,"Dec 19, 2018"
,Well my cup of tea. Binge watching it over n over again,5.0,"Dec 9, 2018"
,"The intern no tiene mucho que contar tampoco que trasmitir es un film de domingo en la tarde que olvidaras a ver visto por que no tiene grandes cosas que aportar, no es una mala cinta pero realmente no tiene mucho que resaltar.",3.0,"Nov 19, 2018"
,"Enjoyed this way more than I expected. Super pleasant, easy watching if you need something feel-good. De Niro and Hathaway were awesome.",4.0,"Nov 13, 2018"
,"This is a heartwarming movie, despite a muddled plot, uneven performances, and some implausible situations. Robert DeNiro stars as a retiree who led a traditional business life and is struggling with boredom during his retired years. He wants to get back out and meet people with purpose, and enrolls in a senior intern program at an internet startup. Apparently this place only employs people under 35 who also happen to be loveable characters with some simple problems that DeNiro's character can solve. DeNiro plays his character compellingly but a little too straight to convincingly be able to win over the heart of anyone he talks to in just a couple minutes. Sadly, the other actors are not up to caliber, with a wincingly badly directed and badly acted scene at the climax of the film. Also, don't think too hard about this movie, there are Plot Holes. But it is nice to see a movie valuing the wisdom that often comes with age, even if they overdo it quite a bit. It is pleasant.",2.5,"Oct 28, 2018"
,I really enjoyed watching this movie. Robert De Niro comes across as genuine and sincere. A throw back to when men were men. Wheres my hanky? Anne Hathaway gives a terrific performance as well. This is a great date movie!,4.0,"Sep 28, 2018"
,an amazing performance by de Niro as well as an awesome supporting cast. This movie had me hooked from the word go. I laughed; I cried; I was invested in the characters.,5.0,"Sep 11, 2018"
,Absolutely loved this one!,5.0,"Sep 9, 2018"
,"Over all the movie was a great depiction of the unique friendship between generations. The movie has some problems with it's plot especially with the family/husband storyline. The ending was abrupt, out of place and extremely unsatisfactory.",2.5,"Aug 29, 2018"
,This movie made me CRYYYY so much! Not the sad kind of cry but it teared me up in knowing how good the movie was! It brings so much joy. The movie really touched me through the bones. The first time I cried so much for a movie because It was just soooo damn good! It was truly the best and inspiring movie.,5.0,"Aug 28, 2018"
,One of the best comedy-drama films I have ever seen. The dialogue is hilarious. The chemistry between Anne Hathaway and Robert De Niro is fantastic and funny.,5.0,"Jul 10, 2018"
,Great work and lessons learned for life as a senior.,5.0,"Jul 8, 2018"
,Let me know the importance of being a gentlemen.,4.0,"Jul 4, 2018"
,"As a Comedy and Drama Film, This one is pretty good!",3.0,"Jun 28, 2018"
,"The Intern was a refreshing change of pace for me, theatrically speaking. A story with a heart, solid acting and quite a bit of realism. I love DeNiro and Hathaway anyway, but the chemistry between the two was very strong. The performances won't get recognized at the award level, but I haven't enjoyed DeNiro this much in a long time. It was a departure for him and he was precious. The vibe of the film was reminiscent of similarly-themed 80s and 90s films, but I haven't really seen anything like this in almost 20 years. They just don't make these kind of movies anymore. For someone my age, it was a pleasure to watch.",4.0,"Jun 19, 2018"
,"De Niro plays a Mary Poppins/Jeeves type character who never puts a foot wrong.His unbelievable, sage, kindly older man (who can also get an erection) character is fairly 2 dimensional. The movie tries too hard to be progressive. Virtually shoving its modernity down our throats. Here's some feminism, take a kick in the nuts ageism, gender roles, boom! See ya!. No laughs, no genuine emotion. Overall, just pretty meh.",2.0,"May 17, 2018"
,"Pretty much just ok. Had kind of touching dramatic moments as well as funny ones, and also digs a little deep at times that flow well with the movie dealing with topics like work-life balance, women in the workplace and infidelity. It felt kind of slow though and despite the fact that some of the characters do go through hard times, the DeNiros performance and the movie in general was so light hearted it was hard to really believe anything was at stake or anything bad would happen. Also the movie feels kind of like a giant Apple advertisement, but maybe that's just me.",3.0,"May 9, 2018"
,I enjoyed the movie. De'Niro taught the milleniels how to be classy,4.0,"Apr 22, 2018"
,This movie had a lot of heart. But it’s listed as a comedy and I must say the laughs were good but sparse. This should be listed as a drama. I was in the mood for a laugh and that’s why I picked this movie. But as you’ll see you’ll actually share a few tears by the end. If it’s a drama it’s 4 stars. But if your looking for a comedy I would give it only 1 star. Good luck.,4.0,"Apr 17, 2018"
dave j,Great movie. Well written and a wonderful cast. You’ll laugh and maybe even cry a little.,4.0,"Mar 21, 2018"
,"Academy Award winner Robert DeNiro has been hitting bad times recently in terms of the quality of his film. Appearing in garbage such as ""Meet the Fockers"" and ""Little Fockers"" and ""Dirty Grandpa"". It is nice to see that among the trash is a movie deserving of his talents and worth your time. ""The Intern"" is not specatular by any means. However there is a lot to like about it. The thing to like the most is DeNiro. He carries this movie on his shoulders and does so very well. He also has very good chemistry with Academy Award winner Anne Hathaway. Their scenes together seem very genuine. Almost like they are not scripted. He alone makes this movie worth seeing. The script is a little formulaic in terms of its storyline, but it still makes for a entertaining film that I do recommend.",3.0,"Feb 17, 2018"
,Original mostly clean comedy,4.5,"Feb 9, 2018"
,"Loved this side of DeNiro. He's so known for his tough guy roles, that it was refreshing to see this very reserved performance. He and Ann Hathaway made this a very touching movie, with a lot of commentary on life and what should be important.",3.5,"Feb 7, 2018"
